Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2015-06-09,44.665794372558594,44.92140604410895,44.41459072633515,44.72749327778273,3476800
2015-06-10,45.54280090332031,45.84689075164023,44.802414076694426,44.87733369191185,6270400
2015-06-11,45.780784606933594,46.32726541069671,45.60009592230044,46.31404133513404,6178000
2015-06-12,45.73671340942383,45.877739951199025,45.4855097768137,45.635352368764956,4133000
2015-06-15,45.54718780517578,45.76754188586104,45.27395089702138,45.437010764833154,4902000
2015-06-16,46.08045959472656,46.26555963940765,45.58686844181047,45.604497177605694,5034000
2015-06-17,46.1641845703125,46.34928120983884,45.868910879305695,46.15977654679898,4072400
2015-06-18,46.715084075927734,47.01035785699376,46.27878376044677,46.296412497540864,5690600
2015-06-19,46.94865798950195,47.08968452100668,46.688641687989815,46.728303823879706,7285600
2015-06-22,47.06324005126953,47.3541057826512,47.00154115787531,47.094089497966635,4186600
2015-06-23,47.24393081665039,47.27037560238417,47.076462864578865,47.24393081665039,5934200
2015-06-24,46.81204605102539,47.318861375536045,46.732718405777305,47.24393839333526,5056200
2015-06-25,46.37132263183594,47.07204713585026,46.12893174925022,47.07204713585026,10811400
2015-06-26,48.35009765625,48.62774262006478,47.759550264611214,47.759550264611214,20287600
2015-06-29,47.45107650756836,48.253165726770774,47.446671844091135,48.15620933285534,9005000
2015-06-30,47.605316162109375,47.98432562542823,47.50836314606283,47.97110491243725,7531200
2015-07-01,48.22671127319336,48.22671127319336,47.856514538425714,48.015169801563616,5924000
2015-07-02,48.420631408691406,48.79964088829551,48.0768760444654,48.43826014754952,5900000
2015-07-06,48.407386779785156,48.70266382736593,48.04160153138487,48.07685563179462,4991400
2015-07-07,49.046424865722656,49.06405360039632,48.063643922274096,48.513168250609255,7207000
2015-07-08,48.156185150146484,48.80843478745674,48.0371954115827,48.5748599715945,6733600
2015-07-09,48.23112106323242,48.88336751348466,48.120943979928136,48.583685712403486,6168400
2015-07-10,48.707088470458984,48.83048964069674,48.03721321514444,48.71149649569485,5159200
2015-07-13,49.540016174316406,49.601715060550994,48.83047562028153,49.02438496458861,5047600
2015-07-14,49.509178161621094,49.82648873554313,49.32408144761261,49.72953235325161,5561400
2015-07-15,49.31526184082031,49.53120797686794,49.2227134967999,49.35933200049608,5016400
2015-07-16,49.509178161621094,49.75597714263719,49.293231995277864,49.6942782379677,4334600
2015-07-17,49.7119026184082,49.79123025493385,49.315264435779945,49.522397895726805,4545400
2015-07-20,49.85732650756836,50.042426540550714,49.720708016711896,49.919025397783365,5978200
2015-07-21,49.79563522338867,50.0512468718013,49.67664544903816,49.791230560798624,4626400
2015-07-22,50.28041076660156,50.337705000270546,49.74274943894277,49.74274943894277,5954200
2015-07-23,50.24074172973633,50.54923616735247,50.157006084238866,50.46109586012991,6714200
2015-07-24,49.79563522338867,50.320079232659765,49.566468362205605,50.320079232659765,5967200
2015-07-27,49.240333557128906,49.76477408083962,48.89657830261625,49.535607273501576,6648000
2015-07-28,50.007179260253906,50.20109201891824,49.29323049072089,49.39018687005305,6948200
2015-07-29,50.64619445800781,50.831291127650466,50.020389510737516,50.05564697990869,6839800
2015-07-30,50.68586730957031,50.857743293809655,50.21430951854531,50.65942252268423,5594000
2015-07-31,50.778419494628906,51.095730062535225,50.60654349740266,50.90181730162846,5078600
2015-08-03,50.60653305053711,51.12216093577317,50.060052357582144,50.906214818102384,4992000
2015-08-04,51.02080154418945,51.09131649044099,50.38618383961416,50.6594208504946,5229000
2015-08-05,51.452701568603516,51.880189220252504,51.276417550290596,51.39100266654469,6853000
2015-08-06,50.73434829711914,51.78323299760773,50.403817022666324,51.562878814639184,6211400
2015-08-07,50.465518951416016,50.663836383045954,49.84411850425601,50.55806731033253,5907800
2015-08-10,50.840118408203125,51.19709111599944,50.61535619550193,50.85333912147883,4613200
2015-08-11,50.443477630615234,50.67705251949833,50.07768889102877,50.30245109228933,5107400
2015-08-12,49.82648849487305,50.130578353802555,48.76438304475995,50.03802999724534,7127000
2015-08-13,50.064456939697266,50.47431575006498,49.7779959023715,49.91902240903904,5907800
2015-08-14,50.39939880371094,50.49194713835823,49.84851345771229,50.06005154766687,4685200
2015-08-17,50.67265319824219,50.73875676822392,49.83971123075152,50.29364370610171,3917400
2015-08-18,50.60213088989258,50.981140326977254,50.500766493414595,50.734344735326864,3669400
2015-08-19,50.66383361816406,51.14420748804462,50.042436567253816,50.24075398806095,6216400
